"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CDKN1A",1.72677846048815e-140,0.751942270512956,0.652,0.211,3.57667622520911e-136,"1","CDKN1A"
"C1S.1",7.6372923651551e-140,-1.15854243678221,0.394,0.788,1.58191236759458e-135,"1","C1S"
"ABI3BP.1",4.70914130791278e-138,-1.00304761525575,0.075,0.584,9.75404439107975e-134,"1","ABI3BP"
"TPM2.1",7.03231292058912e-138,0.780148231070224,0.977,0.609,1.45660297524162e-133,"1","TPM2"
"WISP2.1",8.09312787743953e-138,-1.47912367150256,0.029,0.54,1.67632957725405e-133,"1","WISP2"
"NDUFA4L2.1",1.99590441232933e-136,1.04426563481249,0.69,0.249,4.13411680925774e-132,"1","NDUFA4L2"
"PSAP.1",3.26537449829974e-136,-0.729180829011581,0.483,0.841,6.76357019832826e-132,"1","PSAP"
"MGST1.1",1.00889929404878e-135,-1.06505664828788,0.012,0.515,2.08973310776323e-131,"1","MGST1"
"PDGFRL.1",1.6094245538422e-135,-0.902870462324681,0.06,0.562,3.33360107837336e-131,"1","PDGFRL"
"MFAP5.1",8.19565413311193e-134,-1.83421860089739,0.001,0.499,1.69756584059147e-129,"1","MFAP5"
"C3.1",9.7077372451899e-132,-1.40250561209099,0.011,0.506,2.01076361559618e-127,"1","C3"
"FBN1.1",4.13980038410263e-130,-1.1420463587553,0.097,0.586,8.57476853559178e-126,"1","FBN1"
"MFAP4.1",5.42120331821758e-130,-1.10983870079376,0.45,0.827,1.12289384330241e-125,"1","MFAP4"
"GADD45B",9.05024332070545e-130,1.57632765307602,0.86,0.61,1.87457689901772e-125,"1","GADD45B"
"PMP22.1",1.13644540004364e-127,-0.86864647953541,0.357,0.754,2.3539193571104e-123,"1","PMP22"
"PHLDA2",1.00714224402736e-126,0.754963484184545,0.557,0.158,2.08609373005387e-122,"1","PHLDA2"
"SLPI.1",1.2661644137468e-124,-1.98262138023949,0.007,0.48,2.62260635019374e-120,"1","SLPI"
